牛街18|(西城牛街)春风胡同8号, 春风胡同10号|80142|2005年建成|塔楼|2.08至2.18元/平米/月|北京东网物业管理有限公司|北京斯博房地产开发有限公司|2栋
青龙胡同|(东城东直门)青龙胡同|104988|1975年建成|板楼|0.1元/平米/月|无物业管理服务|北京城建集团有限责任公司|3栋
桃杨路北里12号院|(东城永定门)桃杨路北里12号院|65474|1999年建成|板楼|暂无信息|单位自管物业|北京城乡房屋建设开发有限责任公司|1栋
北新桥三条1号院|(东城东直门)北新桥三条1号院|119346|1981年建成|板楼|2元/平米/月|单位自管物业|北京市东城区住宅建设开发公司|9栋
革新里小区|(东城西罗园)革新里24号院|67356|1987年建成|板楼|0.3元/平米/月|房管所代管物业|北京城市建设工程开发有限公司|4栋
东水井胡同|(东城朝阳门内)东水井胡同|88009|2003年建成|塔楼|1至8元/平米/月|北京鼎铭物业管理有限公司|北京北化房地产开发有限公司|2栋
东革新里40号院|(东城西罗园)东革新里40号院|60341|1979年建成|板楼|暂无信息|暂无信息|暂无信息|6栋
幸福南里|(东城广渠门)幸福南里|84848|1953年建成|板楼/塔板结合|暂无信息|无物业管理服务|无开发商|14栋
地坛北门|(东城和平里)地坛北门|95289|1975年建成|板楼|0.8元/平米/月|北京佳家物业管理有限公司|无开发公司|2栋
天利园|(东城广渠门)安化北里2号院|89781|2003年建成|板楼|1.17元/平米/月|北京联立房地产开发有限责任公司|北京联立房地产开发有限责任公司|1栋
南水关|(东城广渠门)广渠南水关胡同|86481|1975年建成|板楼|暂无信息|无物业管理服务|无开发商|3栋
李村|(东城永定门)景泰路李村|70815|1980年建成|板楼|暂无信息|街道办事处（委员会）代管物业|北京城市建设工程开发有限公司|5栋
花园胡同8号院|(东城安定门)花园胡同8号院|103403|1985年建成|板楼|暂无信息|单位自管物业|无开发商|3栋
北礼士路62号院|(西城阜成门)北礼士路62号院|91983|1995年建成|板楼/塔板结合|0.55元/平米/月|无物业管理服务|无开发商|2栋
湾子街社区|(西城太平桥)湾子街|81305|1980年建成|板楼|1.5元/平米/月|街道办事处（委员会）代管物业|无开发商|5栋
小羊宜宾胡同|(东城建国门内)小羊宜宾胡同|95125|1988年建成|塔楼/板楼/平房|1元/平米/月|北京首佳物业|北京城市建设开发集团有限责任公司|5栋
